NBA Stats 2021/22: All Player Statistics in one Page,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RANK,FULL NAME,TEAM,POS,AGE,GP,MPG,MIN%Minutes PercentagePercentage of team minutes used by a player while he was on the floor,"USG%Usage RateUsage rate, a.k.a., usage percentage is an estimate of the percentage of team plays used by a player while he was on the floor",TO%Turnover RateA metric that estimates the number of turnovers a player commits per 100 possessions,FTA,FT%,2PA,2P%,3PA,3P%,"eFG%Effective Shooting PercentageWith eFG%, three-point shots made are worth 50% more than two-point shots made. eFG% Formula=(FGM+ (0.5 x 3PM))/FGA","TS%True Shooting PercentageTrue shooting percentage is a measure of shooting efficiency that takes into account field goals, 3-point field goals, and free throws.",PPGPointsPoints per game.,RPGReboundsRebounds per game.,TRB%Total Rebound PercentageTotal rebound percentage is estimated percentage of available rebounds grabbed by the player while the player is on the court.,APGAssistsAssists per game.,AST%Assist PercentageAssist percentage is an estimated percentage of teammate field goals a player assisted while the player is on the court,SPGStealsSteals per game.,BPGBlocksBlocks per game.,TOPGTurnoversTurnovers per game.,"VIVersatility IndexVersatility index is a metric that measures a player’s ability to produce in points, assists, and rebounds. The average player will score around a five on the index, while top players score above 10",ORTGOffensive RatingIndividual offensive rating is the number of points produced by a player per 100 total individual possessions.,DRTGDefensive RatingIndividual defensive rating estimates how many points the player allowed per 100 possessions he individually faced while staying on the court.
,Tyrese Maxey,Phi,G,21.18,32,34.5,72,21,7.8,101,0.871,323,0.505,108,0.38,0.521,0.565,16.8,3.5,5.5,4.5,20.5,0.72,0.56,1.25,7.4,116,108.7
,Skylar Mays,Atl,G,24.35,16,11.4,23.6,15.9,9.1,7,1,34,0.676,23,0.348,0.614,0.641,4.8,1.4,6.8,0.8,10.5,0.44,0,0.38,6.1,125,114.2
,Miles McBride,Nyk,G,21.34,16,8.9,18.5,17.7,5.3,4,0.75,25,0.4,27,0.185,0.337,0.353,2.4,0.9,5.3,1.2,19.9,0.5,0.06,0.19,6.2,89.4,101.6
,Mac McClung,Chi,G,23.01,1,2.6,5.4,33.8,50,0,0,1,1,0,0,1,1,2,0,0,0,0,0,0,1,0,,
,CJ McCollum,Por,G,30.31,24,35.3,73.6,26.7,8.9,50,0.7,255,0.447,196,0.393,0.509,0.522,20.6,4.1,6.4,4.5,21.6,1.08,0.71,1.92,8.2,106.8,113.3
,T.J. McConnell,Ind,G,29.8,24,24.2,50.4,16.2,13,15,0.8,156,0.538,25,0.28,0.522,0.536,8.4,3.3,7.6,4.8,29.5,1.04,0.38,1.17,8.4,116.3,106.6
,Jalen McDaniels,Cha,F-C,23.95,34,17.9,37.3,15.1,12.4,44,0.659,96,0.594,75,0.387,0.588,0.604,6.8,3.5,10.3,1.2,9.1,0.59,0.41,0.79,6.8,115.2,106.7
,Jaden McDaniels,Min,F,21.28,37,26.4,55.1,14.4,11.5,28,0.786,158,0.538,129,0.287,0.49,0.506,8.2,4.5,9,1.1,5.7,0.84,0.62,1.05,5.2,102.3,99.8
,Doug McDermott,San,F,30.02,26,24.6,51.3,17.9,7,22,0.727,109,0.532,134,0.41,0.578,0.588,11.4,2.6,5.5,1.3,7.6,0.15,0.08,0.73,5.5,112.4,111.4
,JaVale McGee,Pho,C-F,33.98,35,16,33.4,24.6,17.2,78,0.692,227,0.661,4,0.25,0.656,0.673,10.2,7.2,23.4,0.7,6.7,0.31,0.83,1.57,9.3,119.3,87
,Cameron McGriff,Por,F,24.29,3,15.3,31.9,14.1,0,2,1,8,0.375,6,0.333,0.429,0.47,4.7,5,17.9,1,9.3,0,0.33,0,7.5,125.7,102.1
,Rodney McGruder,Det,G,30.46,17,9.5,19.7,14.3,14.9,4,0.75,23,0.522,21,0.238,0.443,0.459,2.5,1.6,9.4,0.6,10.4,0.18,0.12,0.47,5.6,94.2,108.7
,Alfonzo McKinnie,Chi,F,29.32,6,14.4,29.9,13.2,7.7,2,0,9,0.444,14,0.429,0.565,0.544,4.3,1.5,5.8,0.5,4.7,0.17,0.33,0.33,4.1,110.1,106.5
,JaQuori McLaughlin,Dal,G,23.95,4,2.7,5.7,8.2,0,0,0,1,0,1,0,0,0,0,0,0,0.5,22.6,0,0,0,0,,
,Jordan McLaughlin,Min,G,25.76,28,11.2,23.4,13.6,18.5,22,0.682,46,0.37,28,0.143,0.311,0.364,2.2,1.1,5,2.4,27.5,0.64,0.04,0.68,6.4,93.7,110.1
,Ben McLemore,Por,G,28.92,23,15.8,32.9,20.3,8.3,15,0.867,32,0.5,117,0.419,0.601,0.617,8.3,1.3,4.5,0.7,6.6,0.3,0.09,0.61,5,115.6,111.8
,De'Anthony Melton,Mem,G,23.63,33,23.8,49.7,20.3,14.6,48,0.75,145,0.476,161,0.323,0.48,0.504,10,4.5,10,2.9,16.9,1.64,0.67,1.7,8.5,102.1,102.6
,Sam Merrill,Mem,G,25.66,6,9.6,20.1,20,7.2,4,0.5,1,1,23,0.304,0.479,0.485,4.2,1.2,6.4,0.7,9.4,0,0,0.33,6.3,102,111
,Chimezie Metu,Sac,F-C,24.81,27,22.8,47.5,18.7,8.9,36,0.778,127,0.52,103,0.272,0.47,0.496,9,6.3,14.7,1,6.5,0.89,0.67,0.89,6.7,99.3,106.8
,Khris Middleton,Mil,F,30.42,31,31.5,65.6,27.3,16.1,138,0.884,270,0.47,191,0.377,0.51,0.567,19.1,5.5,9.2,5.3,26.2,1.1,0.19,3.23,10.4,108.3,103.6
,CJ Miles,Bos,G,34.82,1,2,4.2,0,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,
,Paul Millsap,Bro,F,36.92,23,10.9,22.7,16.6,10.4,17,0.706,53,0.415,26,0.231,0.392,0.428,3.2,3.4,16.7,1,12.4,0.22,0.35,0.43,8.1,102.4,90.5
,Patty Mills,Bro,G,33.42,39,31,64.6,17.1,9,29,0.897,125,0.464,296,0.412,0.572,0.586,13,2.1,3.5,2.6,12.1,0.62,0.33,1.1,5.3,112.6,111.1
,Shake Milton,Phi,G-F,25.29,27,24.8,51.6,20.6,10.1,48,0.854,175,0.48,79,0.316,0.478,0.516,10.5,3,6.7,2.8,17.2,0.78,0.41,1.15,7.2,104.9,105.4
,Davion Mitchell,Sac,G,23.35,37,24.8,51.6,18.7,9,34,0.647,212,0.443,138,0.304,0.449,0.46,9.1,2.2,4.6,3.2,18.9,0.62,0.19,0.97,6.5,99.6,111.6
,Donovan Mitchell,Uta,G,25.34,37,33.4,69.5,33.1,11.7,159,0.881,419,0.544,349,0.347,0.533,0.572,25.9,3.8,6.1,5.2,26.7,1.62,0.22,3,9.6,113.3,104.5
,Evan Mobley,Cle,C,20.57,33,34,70.9,19.6,11.6,102,0.735,348,0.532,51,0.294,0.52,0.552,14.8,8.1,12.8,2.6,11.7,0.85,1.76,1.76,8,109.3,101.3
,Malik Monk,Lal,G,23.93,36,26,54.1,18.4,11.4,45,0.844,145,0.572,192,0.396,0.585,0.605,12,2.9,5.8,2.2,12.5,0.72,0.47,1.28,6.5,113.1,109.6
,Greg Monroe,Min,F-C,31.61,3,21,43.8,13.4,19.8,5,0.4,14,0.643,0,0,0.643,0.617,6.7,7,17.4,3.7,25.4,0.67,1.33,1.33,10.6,122.8,97.6
,Greg Monroe,Was,F-C,31.61,2,8.8,18.3,25.2,20,0,0,8,0.5,0,0,0.5,0.5,4,5,30.9,0.5,9.5,0.5,0.5,1,9.8,113.6,99.8
,Moses Moody,Gol,G,19.62,24,7,14.6,16.3,6.4,11,0.727,24,0.625,30,0.133,0.389,0.425,2.1,1,8.1,0.3,5.7,0.13,0.17,0.17,4.9,91.6,101.7
,Matt Mooney,Nyk,G,24.93,1,1.9,4,46.7,50,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,,
,Xavier Moon,Lac,G,27.03,5,13.8,28.7,20.4,6.3,0,0,22,0.455,8,0.125,0.383,0.383,4.6,1.8,6.8,1.2,13.4,1,0.2,0.4,6.2,83.3,104.7
,Ja Morant,Mem,G,22.42,29,32.2,67.1,32,12.9,181,0.768,424,0.519,120,0.383,0.531,0.575,24.7,5.8,9.5,6.7,35,1.38,0.41,3.17,12.3,114.8,108.7
,Juwan Morgan,Tor,F,24.74,1,27.4,57.1,4.7,0,0,0,1,1,2,0.5,0.833,0.833,5,4,7.9,1,4.8,0,0,0,4,183.8,106.7
,Marcus Morris Sr.,Lac,F,32.36,20,30.1,62.7,23,8.2,59,0.898,157,0.484,107,0.383,0.521,0.566,16.4,5.2,8.9,2.2,11.9,0.45,0.25,1.3,7.6,110.6,103.4
,Jaylen Morris,San,G,26.31,3,5.3,11.1,23.1,11.4,4,0.5,4,0,2,0,0,0.129,0.7,0.7,6.5,0.7,14,0,0,0.33,5.3,39.1,110
,Markieff Morris,Mia,F,32.36,10,18.7,39,19.9,14.3,5,1,48,0.5,22,0.364,0.514,0.533,7.7,2.8,8.3,1.4,11.6,0.3,0.1,1.2,6.7,104.7,100.7
,Monte Morris,Den,G,26.54,35,29.9,62.2,18.4,9.7,29,0.724,225,0.542,153,0.392,0.561,0.569,12.7,2.7,5,4.2,21.4,0.74,0.14,1.2,7,113.9,110.2
,Emmanuel Mudiay,Sac,G,25.85,2,5.5,11.5,18.5,21,4,0.75,2,0,0,0,0,0.399,1.5,0,0,2,43.8,0.5,0,0.5,0,100,108
,Mychal Mulder,Orl,G,27.58,15,13,27.1,16.8,10.5,2,1,21,0.333,46,0.283,0.396,0.405,3.7,1.4,5.7,0.2,2.3,0.27,0.07,0.53,3.1,76.5,111.6
,Ade Murkey,Sac,G,20,1,1.5,3.1,0,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,
,Trey Murphy III,Nor,F,21.57,34,13.4,27.8,14,7.4,15,0.867,34,0.324,97,0.34,0.462,0.487,3.9,2.1,8.6,0.6,6.3,0.29,0.12,0.32,5.1,105.2,109.3
,Dejounte Murray,San,G,25.31,35,34.3,71.4,25.9,12,79,0.722,467,0.475,145,0.331,0.48,0.499,18.4,8.2,12.4,8.9,38.6,2.03,0.46,2.51,12.9,107.1,104.6
,Mike Muscala,Okc,F-C,30.53,32,13.9,29,21,5.1,48,0.875,63,0.508,121,0.421,0.59,0.631,8.1,3.1,11.1,0.5,6.6,0.44,0.66,0.34,6.7,124.5,101
,Svi Mykhailiuk,Tor,G-F,24.59,35,17.7,36.9,16.3,11,32,0.844,89,0.528,108,0.324,0.505,0.535,6.5,2.4,7.2,1.1,9.2,0.66,0.11,0.74,5.8,108.9,107.5
,Abdel Nader,Pho,F,28.3,14,10.4,21.6,14.9,21.8,10,0.6,21,0.381,14,0.286,0.4,0.431,2.4,1.9,9.7,0.5,6,0.57,0.29,0.79,5.1,78.4,92.3
,Larry Nance Jr.,Por,F-C,29.03,37,23.2,48.3,12.5,11,49,0.653,136,0.61,62,0.306,0.563,0.581,6.9,5.6,13.4,2,12.3,1.03,0.35,0.73,7.3,123.8,108
,RJ Nembhard Jr.,Cle,G,22.81,5,8,16.7,14.1,7.8,2,0.5,10,0.5,1,0,0.455,0.463,2.2,0.4,2.7,2,35.6,0,0,0.2,6,116.5,108.7
,Aaron Nesmith,Bos,G-F,22.24,28,10.7,22.3,16.7,14.9,9,0.778,29,0.586,64,0.234,0.425,0.443,3.1,1.7,8.4,0.4,4.8,0.29,0.04,0.61,4.8,83.9,98.1
,Raul Neto,Was,G,29.65,34,20.5,42.7,18.8,13.6,55,0.745,175,0.509,56,0.25,0.476,0.511,7.7,2.1,5.5,2.7,19.2,0.71,0.03,1.18,6.9,101.4,107.5
,Malik Newman,Cle,G,24.89,1,7.7,16,39.1,14.5,2,1,4,0.75,1,0,0.6,0.68,8,1,7,1,29.7,0,0,1,10.4,117.4,111.7
,Georges Niang,Phi,F,28.57,35,23.1,48.1,18.3,7.9,35,0.857,110,0.518,176,0.398,0.566,0.587,10.1,2.7,6.4,1.3,8.7,0.51,0.23,0.74,5.7,112.4,103.1
,Daishen Nix,Hou,G,19.91,8,8.4,17.4,19.3,29.7,3,0.333,13,0.769,7,0.429,0.725,0.704,3.8,1.3,8.1,1.3,24.8,0.88,0,1.13,8.9,103.8,110.3
,Zeke Nnaji,Den,F-C,21.01,22,14.8,30.9,15.8,6.1,35,0.571,50,0.46,43,0.465,0.57,0.581,5.7,3.1,11.5,0.4,3.5,0.18,0.32,0.32,5.2,119.2,102.3
,Nerlens Noel,Nyk,C-F,27.76,17,23.1,48.1,7.4,22.8,18,0.833,41,0.537,2,0,0.512,0.579,3.5,5.8,13.6,0.8,5,1.06,1.47,0.88,4.4,119.6,98.8
,Jaylen Nowell,Min,G,22.51,26,13.9,29,22.6,7.1,30,0.733,111,0.541,58,0.345,0.533,0.554,7.8,2,7.5,2,24.1,0.62,0.19,0.54,9.1,117.3,105.8
,Frank Ntilikina,Dal,G,23.46,30,14.6,30.3,17.3,11.9,19,1,68,0.397,72,0.347,0.461,0.499,4.9,1.5,5.8,1.5,14.9,0.7,0.1,0.67,6.1,101,101.4
,Jusuf Nurkic,Por,C,27.39,37,26.5,55.2,22.4,16.3,155,0.716,318,0.575,35,0.229,0.552,0.595,13.5,10.2,21.2,2.6,16.3,1.14,0.51,2.22,10.7,114.6,99.9
,David Nwaba,Hou,G-F,28.99,33,14.2,29.6,16,8.5,47,0.702,106,0.538,35,0.286,0.511,0.547,5.4,3.9,15,0.8,8.8,0.67,0.55,0.45,7.2,114.3,106.6
,Jordan Nwora,Mil,F,23.34,33,21.2,44.1,19.5,11,17,0.824,135,0.452,141,0.39,0.52,0.531,9.1,4.1,10.1,1.1,7.6,0.48,0.39,1.06,6.5,102.3,106
,Semi Ojeleye,Mil,F,27.1,16,17.9,37.4,11.3,6.6,11,0.818,28,0.214,38,0.211,0.273,0.318,2.8,3.6,10.4,0.3,2.2,0.25,0.31,0.31,3.2,87.4,104.1
,Chuma Okeke,Orl,F,23.4,30,23,47.9,17,10.3,30,0.867,106,0.491,124,0.234,0.415,0.446,7.2,4.3,10,1.4,9.5,1.27,0.4,0.93,6.1,91.8,107.6
,Josh Okogie,Min,G,23.36,25,13.9,29,11.1,16.2,31,0.613,34,0.441,30,0.267,0.422,0.47,2.9,2.2,8.4,0.7,6.8,0.64,0.32,0.6,4.7,100.6,103.6
,Onyeka Okongwu,Atl,F-C,21.08,7,23,47.9,14.1,19.2,16,0.875,35,0.743,0,0,0.743,0.785,9.4,6.1,14.4,1.1,7.2,0.57,1.29,1.43,6.9,136.8,98.6
,Isaac Okoro,Cle,F-G,20.96,27,28.4,59.2,14.4,12.6,57,0.719,118,0.542,78,0.321,0.518,0.552,9,3.6,6.9,1.9,9.2,0.81,0.26,1.19,5.6,110,101.8
,KZ Okpala,Mia,F-G,22.71,21,11.6,24.2,14.3,6.3,11,0.727,43,0.488,26,0.346,0.5,0.521,3.7,2,9.3,0.7,8.3,0.19,0.33,0.24,6,113.4,101.1
,Cameron Oliver,Atl,F,20,2,21.7,45.1,16.4,0,3,0.667,12,0.75,3,0.333,0.7,0.705,11.5,3,7.5,1.5,11.2,0.5,0.5,0,6.9,149.7,106.2
,Kelly Olynyk,Det,F-C,30.73,10,23,47.8,23.9,11.7,35,0.6,57,0.544,41,0.341,0.531,0.551,12.5,5.3,12.4,2.3,17.7,1.4,0.7,1.5,9.3,107.5,99.7
,Eugene Omoruyi,Dal,F,24.91,4,4.5,9.3,17,0,4,0.5,3,0.333,2,0.5,0.5,0.518,1.8,1.8,21.5,0.5,16.1,0,0,0,10.4,130.3,96.4
,Royce O'Neale,Uta,F,28.6,38,31.3,65.3,9.4,14.3,31,0.71,73,0.658,135,0.4,0.62,0.632,7.4,4.9,8.5,2.5,10.3,1.34,0.53,0.97,5.7,125.9,103.3
,Miye Oni,Uta,G-F,24.44,16,2.8,5.8,10.2,9.6,1,0,1,1,8,0.125,0.278,0.265,0.3,0.4,8.6,0.3,13.8,0,0,0.06,4.7,,
,Cedi Osman,Cle,F,26.76,29,22.9,47.7,20,8.6,49,0.694,90,0.556,166,0.398,0.582,0.598,11.4,2.7,6.3,1.8,11.8,1.03,0.28,0.9,6.7,115.3,101.3
,Daniel Oturu,Tor,C,22.31,3,9.1,19,12.8,0,5,0.6,5,0.6,1,0,0.5,0.549,3,1.7,9.9,0,0,0,0.67,0,0,122.6,112.6
,Kelly Oubre Jr.,Cha,F-G,26.09,40,28.2,58.7,23,7,92,0.674,219,0.58,311,0.373,0.568,0.582,16.6,3.9,7.3,1.2,6.5,1.1,0.35,1.08,6.1,111.5,109.5
,Jaysean Paige,Det,G,27.45,1,6.6,13.8,25.9,25,0,0,1,0,2,0,0,0,0,1,8.2,1,19.9,0,0,1,0,14.8,83.7
,Trayvon Palmer,Det,G,27.16,1,16.8,35,5.1,50,0,0,1,0,0,0,0,0,0,2,6.4,0,0,1,0,1,0,0,101.2
,Kevin Pangos,Cle,G,28.96,18,8.7,18.2,15,13,4,0.75,19,0.474,26,0.231,0.4,0.417,2.2,0.6,3.4,1.7,26.1,0.11,0,0.39,6,100.1,106.4
,Jabari Parker,Bos,F,26.83,12,9.4,19.5,19.5,16,9,1,22,0.455,16,0.5,0.579,0.632,4.4,2.3,13.3,0.5,8.4,0.33,0.08,0.67,7.3,112.9,96.5
,Eric Paschall,Uta,F,25.18,28,11.3,23.6,16.6,11.5,39,0.718,42,0.643,49,0.286,0.527,0.573,4.4,1.8,8.4,0.6,7.7,0.11,0.11,0.5,6,116.2,106.4
,Chris Paul,Pho,G,36.69,39,32.2,67.1,19.7,15.7,119,0.832,316,0.525,116,0.328,0.516,0.563,14,4.4,7.1,10,43.2,1.87,0.26,2.31,10.6,120.3,101.1
,Cameron Payne,Pho,G,27.43,34,20.5,42.7,26.6,15.1,59,0.864,222,0.423,118,0.322,0.444,0.482,10.4,2.9,7.4,3.6,25.8,0.65,0.32,1.91,9.3,96.6,99.8
,Gary Payton II,Gol,G,29.11,38,16.8,35.1,15.5,8.3,39,0.59,125,0.768,67,0.418,0.719,0.715,7.9,3.7,11.9,0.8,7.3,1.34,0.24,0.5,6.8,135.4,93.4
,Elfrid Payton,Pho,G,27.89,21,12.2,25.3,19.6,19.7,15,0.533,82,0.415,5,0.2,0.408,0.422,3.8,2.1,9,1.9,21.1,0.52,0.1,1.1,8.1,87.9,98.8
,Norvel Pelle,Uta,C,28.94,3,6.3,13.2,15.9,28.6,0,0,5,0.6,0,0,0.6,0.6,2,2,17.1,0,0,0,0.33,0.67,0,101.7,107.8
,Reggie Perry,Por,F-C,21.81,2,20.5,42.6,11.6,9.2,2,1,7,0.429,2,0.5,0.5,0.557,5.5,3.5,9.4,1,6.9,0.5,0,0.5,5.2,118.7,103.1
,Jamorko Pickett,Det,F,24.05,6,7.8,16.2,11.9,23.1,0,0,3,0,7,0.143,0.15,0.15,0.5,1.5,10.4,0.2,2.9,0,0.17,0.5,2.7,39,110.1
,Theo Pinson,Dal,G-F,26.18,10,9.3,19.4,14.8,6.5,4,1,7,0.429,20,0.25,0.389,0.435,2.5,1.6,9.4,1.2,17.8,0.4,0.2,0.2,7.3,100.9,98.2
,Mason Plumlee,Cha,F-C,31.86,32,24.6,51.3,11.7,17,71,0.38,149,0.611,1,0,0.607,0.577,6.5,7.1,15.2,2.8,14.9,0.88,0.88,1.16,8.2,121.9,103.5
,Jakob Poeltl,San,C,26.24,33,28.5,59.4,18.4,13.2,80,0.363,320,0.594,0,0,0.594,0.576,12.4,8.9,16.1,2.7,13.8,0.67,1.39,1.64,9.4,117.6,102.4
,Aleksej Pokusevski,Okc,C,20.05,36,15.1,31.5,19.2,17.4,14,0.5,106,0.462,87,0.23,0.409,0.414,4.6,4,13.5,1.1,11.5,0.5,0.47,1.17,7.2,82.2,102.1
,Yves Pons,Mem,F,22.68,6,3.5,7.2,7.8,0,2,0,2,0,1,1,0.5,0.387,0.5,0.8,12.8,0,0,0,0,0,0,,
,Jordan Poole,Gol,G,22.57,33,29.8,62.2,25.3,14,100,0.89,199,0.583,249,0.337,0.54,0.582,17.4,3.2,5.8,3.4,18.1,0.97,0.21,2.42,7.7,107.3,98.2
,Kevin Porter Jr.,Hou,G-F,21.69,26,29.7,62,24.3,22.4,87,0.609,159,0.39,146,0.322,0.434,0.463,12.2,4.3,8,5.8,29.7,1.27,0.35,3.81,9.1,89.5,109.9
,Michael Porter Jr.,Den,F,23.54,9,29.5,61.4,20,10.1,9,0.556,55,0.491,48,0.208,0.408,0.416,9.9,6.6,12.3,1.9,9.3,1.11,0.22,1.33,6.8,85.7,104.9
,Otto Porter Jr.,Gol,F,28.61,33,21.2,44.2,15.3,7.7,20,0.75,88,0.557,131,0.389,0.573,0.584,8.1,5.1,13,1.5,9.9,1,0.45,0.58,7.5,119.4,98.3
,Bobby Portis,Mil,F,26.92,34,28.4,59.2,22.4,11.1,71,0.789,266,0.511,152,0.428,0.559,0.582,15.4,9.2,17,1.4,7.5,0.76,0.82,1.65,8.2,114.8,99.3
,Kristaps Porzingis,Dal,F-C,26.44,26,30.4,63.4,29.1,7.4,137,0.883,273,0.538,142,0.282,0.499,0.563,20.6,8,14.3,2.3,13.4,0.77,1.69,1.46,9.5,115.1,101
,Micah Potter,Det,F,23.77,3,10.3,21.5,17.8,7.8,2,1,9,0.556,2,0,0.455,0.505,4,3,15.7,0,0,0.33,0.33,0.33,0,108.1,100.5
,Dwight Powell,Dal,F-C,30.48,40,20.3,42.3,13.3,12,82,0.72,148,0.642,29,0.414,0.638,0.669,7.1,4.6,12.4,1.1,8.1,0.5,0.38,0.73,6.5,135.1,98.4
,Myles Powell,Phi,G,20,5,7.4,15.3,19.4,18.9,2,1,8,0.375,4,0.25,0.375,0.427,2.2,1,7.5,0.4,7.7,0.2,0,0.6,5.2,79.4,96.5
,Norman Powell,Por,G,28.63,34,32.9,68.6,22.9,8.8,167,0.82,276,0.493,188,0.399,0.536,0.59,18.6,2.9,4.8,2.1,10.5,0.97,0.44,1.53,5.9,114.9,112.7
,Joshua Primo,San,G,19.05,17,13.4,28,15.8,14.1,10,0.8,32,0.406,37,0.378,0.493,0.518,4.5,1.6,6.1,1.2,11.8,0.41,0.53,0.71,6.1,101.6,108.4
,Taurean Prince,Min,F,27.81,29,15.1,31.4,14.8,11.6,22,0.773,45,0.489,82,0.305,0.469,0.498,4.7,2.1,7.3,0.9,7.9,0.45,0.21,0.62,5.5,100.8,103.7
,Payton Pritchard,Bos,G,23.95,31,13.6,28.2,18.8,12.8,8,1,55,0.364,98,0.357,0.474,0.489,4.9,1.9,7.4,1.8,19.7,0.16,0.13,0.74,7.5,101.8,106.2
,Trevelin Queen,Hou,G,20,8,8.6,17.9,23,18.8,3,1,7,0.714,22,0.364,0.586,0.61,4.6,1.8,11.1,0.4,7.2,0.63,0,0.88,6.9,103.1,107.7
,Neemias Queta,Sac,C,22.5,4,8.6,17.9,18.3,13.6,4,0.75,11,0.364,0,0,0.364,0.431,2.8,2.5,15.4,0.8,12.2,0.25,0.25,0.5,8.3,99.4,100.4
,Immanuel Quickley,Nyk,G,22.57,37,22.9,47.6,21.4,10.8,71,0.93,138,0.457,194,0.351,0.497,0.545,10.7,2.3,5.5,2.7,18.8,0.62,0.08,1.19,7.1,110.6,104.8
,Jahmi'us Ramsey,Sac,G,20.59,15,5.6,11.6,20.7,5,10,0.5,23,0.522,11,0.182,0.441,0.456,2.3,0.3,3.2,0.2,5.4,0.07,0.07,0.13,3.7,93.1,114.4
,Julius Randle,Nyk,F-C,27.12,39,35.5,73.9,27.6,15.7,178,0.764,429,0.469,218,0.312,0.468,0.511,19,10.2,15.4,4.8,23.5,0.77,0.59,3.46,11,101.1,102.2
,Austin Reaves,Lal,G,23.62,22,20.3,42.3,10.6,10.9,24,0.875,38,0.711,50,0.36,0.614,0.654,5.9,2.3,5.8,1.1,7.1,0.32,0.14,0.55,4.9,124.4,107.4
,Cam Reddish,Atl,F-G,22.36,34,23.4,48.8,23.1,10.4,80,0.9,190,0.421,153,0.379,0.487,0.537,11.9,2.5,5.7,1.1,7,1.03,0.29,1.29,5.5,103.8,111.7
,Davon Reed,Den,G,26.59,13,16.9,35.2,11.2,7.2,5,0.8,28,0.5,21,0.381,0.531,0.547,4.3,2.9,9.6,1.3,10.6,1.15,0.15,0.31,6,116.8,99.1
,Paul Reed,Phi,F,22.58,19,9.4,19.6,13,13.6,6,0.5,38,0.526,4,0,0.476,0.482,2.3,2.4,14.2,0.5,7.9,0.63,0.53,0.37,6,109.9,93.6
,Naz Reid,Min,C-F,22.38,37,17,35.3,22.5,11,79,0.722,171,0.538,95,0.337,0.526,0.56,9.1,4.1,12.6,0.8,7.1,0.51,0.97,1,7.3,110.9,98
,Nick Richards,Cha,C,24.12,31,9.2,19.3,15.3,17.3,29,0.828,73,0.685,0,0,0.685,0.723,4,2.2,12.5,0.4,5.4,0.29,0.61,0.58,6.6,128.7,101.3
,Josh Richardson,Bos,G,28.32,29,26.1,54.3,16.7,8,58,0.845,138,0.493,101,0.406,0.542,0.582,10.6,2.7,5.5,1.4,8.3,0.9,0.48,0.79,5.2,116.1,104.6
,Austin Rivers,Den,G,29.44,28,20.2,42.1,14.2,11.6,12,0.583,55,0.527,99,0.323,0.5,0.505,5.8,1.7,4.7,1,7.1,0.5,0.07,0.75,4.2,96.2,107.8
,Duncan Robinson,Mia,F,27.72,37,28.2,58.7,18.2,6.1,30,0.8,67,0.537,323,0.359,0.538,0.551,12,3.4,6.7,1.5,7.9,0.68,0.22,0.7,5.6,110.7,102
,Jeremiah Robinson-Earl,Okc,F,21.19,35,22.6,47,15.2,11.1,37,0.703,113,0.496,118,0.339,0.502,0.522,7.4,5.7,12.7,0.9,5.9,0.54,0.29,0.89,5.9,105.8,105.2
,Justin Robinson,Mil,G,24.25,17,11.6,24.2,14.9,16,2,1,20,0.4,37,0.27,0.404,0.415,2.8,0.8,3.4,1.2,14.1,0.47,0,0.65,4.8,86.8,104.6
,Justin Robinson,Sac,G,24.25,3,5,10.4,25.6,11.1,0,0,5,0.2,3,0,0.125,0.125,0.7,0.3,3.5,0.7,17.4,0,0,0.33,4.2,37.7,106.7
,Justin Robinson,Det,G,24.25,5,18.2,37.9,16.8,14,6,0.333,7,0.143,21,0.381,0.464,0.457,5.6,1.4,4.1,1.8,14.9,0.2,0.2,1,5.3,91.5,109.5
,Mitchell Robinson,Nyk,C-F,23.78,37,24.9,51.9,10.4,12.9,81,0.556,153,0.784,0,0,0.784,0.755,7.7,8.1,17.4,0.5,2.9,0.51,1.62,0.76,5.1,147.8,100.5
,Isaiah Roby,Okc,F,23.94,18,13.7,28.5,19,13.9,21,0.762,62,0.581,22,0.5,0.625,0.649,6.7,3.3,12.1,0.7,9.2,0.22,0.33,0.83,7.3,119.1,101.8
,Rajon Rondo,Lal,G,35.89,18,16.1,33.5,15.5,31.5,2,0.5,41,0.366,30,0.267,0.38,0.383,3.1,2.7,8.8,3.7,29.9,0.67,0.28,1.83,7.8,84.2,104.2
,Rajon Rondo,Cle,G,35.89,3,21.7,45.3,22.6,20.8,6,0.833,10,0.4,14,0.429,0.542,0.582,10.3,4,9.9,4.7,31.9,1,0,2.33,10.7,108.9,97.6
,Derrick Rose,Nyk,G,33.27,26,24.5,51,22.8,11.9,31,0.968,182,0.467,92,0.402,0.513,0.541,12,3,6.6,4,27.7,0.85,0.46,1.5,8.6,111.6,112.3
,Terrence Ross,Orl,G-F,30.93,33,26.3,54.8,21.9,11.6,97,0.876,189,0.508,157,0.306,0.486,0.542,12.8,2.8,5.6,2.2,13.7,0.64,0.21,1.55,6.5,104.1,112.6
,Terry Rozier,Cha,G,27.82,32,32,66.6,23,6.8,74,0.811,244,0.488,243,0.387,0.534,0.558,18.1,3.9,6.4,3.4,15.9,1.19,0.44,1.19,7.8,112.8,114.6
